SEGMENT1,VENDOR_NAME,AUTO_TAX_CALC_FLAG,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,TERMS_NAME,PAY_GROUP_LOOKUP_CODE,PAYMENT_TYPE
521,Coca Cola Beverages Sri Lanka,Y,Sri Lanka,"Tekkawatta,",Biyagama.,,Mr.Arkib,076-8506966/777263123,,90 Net,GROCERY,
881,Country Style Foods (pvt.) Ltd,Y,Sri Lanka,"No 57, St Anthonys Road",Kadawatha,,Mr.Geeth,077-2984107,,90 Net,GROCERY,
637,D. R. S. Food Suppliers,N,Sri Lanka,"37/15, Sripala Pinthu Mawatha,","Sedawatta, Wellampitiya",,Mr.Sathees,077-6244318,,90 Net,GROCERY,
682,D.M.Y.P. Fernando,N,Sri Lanka,"No:06,","Dandugama,",Ja-Ela.,,011-2236473,,90 Net,GROCERY,
79,Daintee  Ltd,Y,Sri Lanka,"No.72C,","Kadawala Road,",Rathmalana.,Mr.Krishantha,071-6877232/0112625384,,90 Net,GROCERY,
2409,DFS Enterprises,Y,Sri Lanka,125  1/1,T.B. Jaya mw,Colombo 10,MrRajapaksha,071-5354048,,90 Net,GROCERY,
92,Diamond Plastic Co. (Pvt.) Ltd,Y,Sri Lanka,-,-,-,MrRahman,777801341,,90 Net,GROCERY,
594,Diana Trading Company(Pvt) Ltd,Y,Sri Lanka,"Weregama,","Kaikawala,",MATARA.,Mr.Anuradha,070-3642070,,90 Net,GROCERY,
2116,Diesel & Motor Engineering PLC,N,Sri Lanka,"P.O.Box 339, No.65, Jetawana","Road, Colombo.",,Mr.Hasitha,077-9366736/0112449797,,90 Net,GROCERY,
522,Dinesha Confectionery,N,Sri Lanka,"Rathnapura Road,","Liyanagedara,",Agalawatta.,Mr.W.A Sumanasiri,382231168,,90 Net,GROCERY,
641,Distilleries Company of SriLanka Plc,Y,Sri Lanka,"P.O. Box 1756,","No. 110, Norris Canal Road,",Colombo 10.,,011-2866575,,90 Net,GROCERY,
860,Edinborough Products (Pvt) Ltd,N,Sri Lanka,"No. 12, New Kolonnawa Road,","Moragasmulla, Rajagiriya.",,,117326326,,90 Net,GROCERY,
1927,Farm's pride (pvt) Ltd.,N,Sri Lanka,"No:122,Main Street",Battaramulla,,Mr.Amores,077-3623676/77-3782338,,90 Net,GROCERY,
597,Finagle Lanka (Pvt) Ltd.,N,Sri Lanka,"No:14-15,Industrial Estate,","Ekala,",Jaela,Mr.Ajith,077-7489991,,90 Net,GROCERY,
826,Free Lanka Trading Co. (Pvt.)Ltd,Y,Sri Lanka,"No 445A 5/1, 5th Floor.","Galle Road, Colombio 03.",,,117388848,,90 Net,GROCERY,
872,Freelan Enterprises,Y,Sri Lanka,"No: 38, Gunawardana Mawatha,","Nawimana south ,Matara",,Mr.Arun,077-4787748,,90 Net,GROCERY,
133,Gills Food Products (Pvt.) Ltd,N,Sri Lanka,"No.142/4A,Padiliyanthuduwa Rd,","Hunupitiya,",Wattala.,,,,90 Net,GROCERY,
648,Godakanda Herbals Pvt.Ltd,Y,Sri Lanka,"No. 102, Kandy Road,",Weweldeniya.,,Mr.Amila,075-5121441/0117432707,,90 Net,GROCERY,
957,Godrej House Hold Products Lanka (pvt)Ltd,Y,Sri Lanka,No 7C.,Post Master Place,Mount Lavinia,Mr.Sanjaya,076-8236265/011-4659801,,90 Net,GROCERY,
695,Green Island Marketing Service,N,Sri Lanka,"No:409, Walawwa Road,","Homagama,",Sri Lanka.,Mr.Prem,071-0202313/0112855919,,90 Net,GROCERY,
49,H.Amica,N,Sri Lanka,"No:207/05,",Rathmaldeniya.,Pannipitiya.,Miss.Amika,011-2845281/0112700383,,90 Net,GROCERY,
145,Harischandra Mills Plc,Y,Sri Lanka,"No.54,","Kitulwatta Road,",Colombo 08.,Mr.Rasika,077-7722707/0112656734,,90 Net,GROCERY,
2867,Hiru Agri Businesses (Pvt) Ltd,N,Sri Lanka,"No:127,Neboda Road",Matugama,,,342249161,,90 Net,GROCERY,
893,Hiruni Products(L.A. Sriyani),N,Sri Lanka,"Pahala Halmillewa,",Nochchiyagama.,,Mrs.Sriyani,077-4659841 ,,90 Net,GROCERY,
646,International Distillers Limited,Y,Sri Lanka,"Melfort Estate, Kotalawala,",Kaduwela.,,Mr.Amal Perera,011-4653400/0112579328,,90 Net,GROCERY,
171, Iresha Food Products(Orient Finance PLC),Y,Sri Lanka,"No.151/4,","Palagama,",Polgasowita.,Mr.Kelum,078-8222355,,90 Net,GROCERY,
2051,Island Dairies (Pvt) Ltd,N,Sri Lanka,"No.645, Kandy Road, Ranwala,",Kegalle.,,Mr.Athukorala,077-6970284,,90 Net,GROCERY,
797,Isuru Products And Distributor,N,Sri Lanka,"No. 49, Philipnery Road,","Kanuwana, Ja-Ela.",,Mr.Ronil,077-3562743/0112235363,,90 Net,GROCERY,
720,J L Morison Son & Jones Ceylon Plc,Y,Sri Lanka,"No:618,620, Biyagama Road,","Pethiyagoda, Kelaniya",,Mr.Krishantha,071-8141867/112904222,,90 Net,GROCERY,
539,J.S. Warusavithana,N,Sri Lanka,"No.23A,","Dadley Senanayake Mawatha,",Panadura.,,038-2244501,,90 Net,GROCERY,
948,Kandurata Umbrella Industries,N,Sri Lanka,,,,Mr.Indunil,077-3558647,,90 Net,GROCERY,
882,Kandyan Match Company (Pvt)Ltd,Y,Sri Lanka,"No. 8C, Industrial Estate,","Pallekele, Kandy.",,Mr.Gamini,077-7840798/0812420266,,90 Net,GROCERY,
626,Kelani Valley Canneries,Y,Sri Lanka,No:436,Kaluaggala,Hanwella,MrMahesh,071-0356188/0362253309,,90 Net,GROCERY,
652,Kosila Handy Craft Products,N,Sri Lanka,"No. 129/2, Maradapitiya,","Pelapitigama, Bokalagama.",,Mr. M. P. N. Jayasekara,,,90 Net,GROCERY,
736,Kotmale Food Products (Pvt)Ltd,Y,Sri Lanka,"New Town,",Kotmale,,Mr.Asiri,071-1317742/522259908,,90 Net,GROCERY,
709,Lahiru Products,N,Sri Lanka,"No:188/20, Pathiragoda Road,",Maharagama.,,Mrs.Samanthika,077-7646772/0112850338,,90 Net,GROCERY,
223,Lanka Canneries Ltd,Y,Sri Lanka,"Narahenpita Road,",Colombo 05.,,Mr.Upul,071-9675843/0772640478,,90 Net,GROCERY,
225,Lanka Milk Foods (CWE) PLC,N,Sri Lanka,"Negombo Road, Welisara,",Ragama.,,Mr.Sufil,077-9752835,,90 Net,GROCERY,
927,M.S.H Enterprises,N,Sri Lanka,"No.91 , Raja Mawatha",Rathmalana.,,Mr.Hussain,077-2299296/293,,90 Net,GROCERY,
248,Madushi Products,N,Sri Lanka,"Jayalath Watta,","Nareegama,",Hikkaduwa,Mrs.Janaki,077-7578806/0114573398,,90 Net,GROCERY,
256,Maxies and Company (Pvt.) Ltd.,Y,Sri Lanka,"Kosgas Junction, Chillaw Road,",Wennappuwa.,,Mr.Rohan,077-3688366/0777391295,,90 Net,GROCERY,
865,Meridian Food Processing Limited,N,Sri Lanka,"No:275/14, Colombo Road,","Divulpitiya,",Boralesgammuwa,Mr.Gamage,077-7706050/0113084741,,90 Net,GROCERY,
265,Millers Limited,Y,Sri Lanka,"No.50,","York Street,",Colombo 01.,Mr.Upul,077-3580268/0773580302,,90 Net,GROCERY,
3028,Mint Paper Products (Pvt) Ltd,N,Sri Lanka,"No.520C,Avissawella Road",Kaduwela,,,114405317,,90 Net,GROCERY,
3027,Mint Products (Pvt) Ltd,Y,Sri Lanka,"No.520C,Avissawella Road",Kaduwela,,,114405317,,90 Net,GROCERY,
657,Multichemi International Ltd.,Y,Sri Lanka,"No:377/1, Welsiri Mawatha,","Hokandara South, Hokandara.",,Mr.Uditha,077-203894,,90 Net,GROCERY,
2750,Native Herbals (Pvt) Ltd,N,Sri Lanka,"NO;229/3 Kandy Road,","Pittugala,Malabe",,Mr.Suranga,077-0030985/0114373640,,90 Net,GROCERY,
966,Natural Wonders (pvt)Ltd,Y,Sri Lanka,"No33,4th Floor",Confifi Building,st Micheals Rd,Mr.Sumudu,077-0063730/0112333760,,90 Net,GROCERY,
788,New Araliya Marketing Distribu,N,Sri Lanka,"No. 79/A, Galwala Road,","Mirihana, Nugegoda.",,,115010452,,90 Net,GROCERY,
817,Noorani Estates Limited,N,Sri Lanka,"P. O. Box 683, No. 481/A,","Prince of Wales Avenue,",Colombo - 14.,,112436763,,90 Net,GROCERY,
887,Norfolk Foods (pvt) Ltd.,Y,Sri Lanka,"No. 142,","Katuwana Industrial Estate,","Katuwana Road, Homagama.",,112855754,,90 Net,GROCERY,
680,NRT Food Products,N,Sri Lanka,"No:73/2,Aluth Mawatha,Colombo",,,,114991722,,90 Net,GROCERY,
2219,Ole Springs Bottlers (PVT) LTD,N,Sri Lanka,"No:140,Low Level Road,",Embulgama,Ranala,Mr.Ajith,070-2758247,,90 Net,GROCERY,
867,Orel Corporation(Pvt) Ltd,Y,Sri Lanka,"No. 34, OldRoad, Nawinna",Maharagama,,Mr.Vijitha,070-2758247/0114792166,,90 Net,GROCERY,
658,Orient Finance PLC(Nikado company Ltd),Y,Sri Lanka,"No. 647, Bandarawatta,",Kadawatha.,,,,,90 Net,GROCERY,
2326,Orient Finance PLC(Illesh marketing),N,Sri Lanka,Illesh Marketing,,,Mr.Sathish,072-9373535 ,,90 Net,GROCERY,
309,Orient Lanka Confectionery(pvt)Ltd,N,Sri Lanka,"No.226,","Main Street,",Akurana.,Mr.Salgadu,077-3284796/0812300024,,90 Net,GROCERY,
2066,Orocare Dental Products,N,Sri Lanka,"No.8, Dhammadinna Mawatha,","Indipokunagoda, Tanglle.",,Mr.Krishantha,077-7195486,,90 Net,GROCERY,
314,Pee Bee Management Services(Pvt)Ltd,Y,Sri Lanka,"No:186,Vauxhall Street,",Colombo 01,-,Mr.Sadeepa,077-3501319,,90 Net,GROCERY,
316,Pelwatte Dairy Industries Ltd,N,Sri Lanka,"Marketing & Sales Office,","No. A/4, Perahera Mawatha,",Colombo - 3.,Mr.Ushantha,071-0215162/0552273977,,90 Net,GROCERY,
799,Prabath Enterprises,N,Sri Lanka,"No. 166, Old Kesbewa Road,","Delkanda, Nugegoda.",,,112828305,,90 Net,GROCERY,
894,Prime Products,N,Sri Lanka,"Malangama, Hidellana,",Ratnapura.,,Mr.Wijewardana,071-3300644/0453468222,,90 Net,GROCERY,
890,Print Xcel Pvt. Ltd,Y,Sri Lanka,"164/4, Rathna Mawatha",Bakmeegaswewa Road,"Pore,Athurugiriya",Mr.Danushka,077-8778963/0112562775,,90 Net,GROCERY,
961,Pussalla Meat Producers(pvt)Ltd,Y,Sri Lanka,"No: 585, School Lane,Pelawatta",Battaramulla.,,,,,90 Net,GROCERY,
624,Radiant Confectionery (Pvt) Ltd,Y,Sri Lanka,"No. 70/3,","M. Vincent Perera Mawatha,",Colombo - 14.,Mr.Bandara,077-7590704,,90 Net,GROCERY,
352,Raigam Marketing Services(pvt)Ltd,Y,Sri Lanka,"F 28, First Floor,","Lucky Plaza,",Colombo 03.,Mr.Tharaka,077-1061982/0112577779,,90 Net,GROCERY,
644,Rockland Distilleries (Pvt) Ltd,Y,Sri Lanka,"No 160/24, Kirimandala Mawatha",Colombo 05,,,114426100,,90 Net,GROCERY,
2166,Roja Foods,N,Sri Lanka,"Duwe Watta, Bowitiyamulla,",Galle,,Mr.Roshan,077-9405770,,90 Net,GROCERY,
385,Ruhunu Foods (Pvt.) Ltd.,Y,Sri Lanka,"No.16,",Kundasale.,,Mr.Danushka,077-0134229/0812422222,,90 Net,GROCERY,
911,Russels (Pvt) Ltd,N,Sri Lanka,"No. 820/1, Maradana Road,","Punchi Borella, Colombo - 10.",,,112688067,,90 Net,GROCERY,
2752,S.R.S.Incense Industries(pvt)Ltd,N,Sri Lanka,"No:10/2/1,Sri Vajirasharama Mawatha,",Colombo 10,,Mr.Shehan,077-7412688,,90 Net,GROCERY,
853,Sachi Foods,N,Sri Lanka,,,,,,,90 Net,GROCERY,
665,Samadi Wicks Products & Distributors,N,Sri Lanka,No:1/65,Gannoruwa,Peradeniya,Mrs.Nirosha,071-1885830/078-13817303,,90 Net,GROCERY,
2102,Samagi Brothers Company (Pvt)Ltd,N,Sri Lanka,"No.122, Main Street, Mawanella",,,,077-8678678,,90 Net,GROCERY,
394,Samanala Tex,N,Sri Lanka,Ingiriya.,,,Mr.Premathilaka,071-4419398,,90 Net,GROCERY,
2751,Sanjeewaka Ayurvedic Products(pvt)Ltd,Y,Sri Lanka,"No:152 C,Palmgrove Estate,",Paththalagedara,,Mr.Duminda,077-9441800/0332289203,,90 Net,GROCERY,
42, Sen Lanka Distributors(Orient Finance PLC),N,Sri Lanka,"No.336,Biyagama Road,","Gonawela,",Kelaniya.,Mr.Sena,071-2769033,,90 Net,GROCERY,
3245,Shello Cosmetics Company (Pvt)Ltd,Y,Sri Lanka,"No:308/B,", Old Kandy Road,Kelaniya,Mr.Wipula Gunarathna,011-4366638,,90 Net,GROCERY,
3111,SIC Trading (Pvt) Ltd,N,Sri Lanka,"No. 180/A/5 , Kalapaluwawa,",Rajagiriya,,Mr.Shabri,077-7320455,,90 Net,GROCERY,
2905,Spice Land (Pvt) Ltd,Y,Sri Lanka,"No.7/516,Madagodalanda Road",Athurugiriya,,Mr.Kamal,077-2385822/077-7448787,,90 Net,GROCERY,
660,Sri Mayura Industries,N,Sri Lanka,"No: 43/1, Dehiwala Road,",Boralesgamuwa.,,Mr.Chintha,077-1017288,,90 Net,GROCERY,
439,Stassen Exports Ltd,Y,Sri Lanka,"No.833,",Sirimavo Bandaranayake Mawatha,Colombo 14,Mr.Buddika,077-3035218/077-7721297,,90 Net,GROCERY,
880,Sureka Industries,N,Sri Lanka,"No. 71/15, Gramodhaya Mawatha,","Kalalgoda, Pannipitiya.",,,011-2744951,,90 Net,GROCERY,
456,Thai Sumedha Enterprises,Y,Sri Lanka,"No,401/7,","Kotte Road,",Pita Kotte,Mr.Sumedha,077-7788565/077-7738452,,90 Net,GROCERY,
642,The Lion Brewery Ceylon PLC.,Y,Sri Lanka,"No. 254, Colombo Road,",Biyagama.,,,011-2465900,,90 Net,GROCERY,
819,Top Kandyan Quality Products,N,Sri Lanka,"No. 14/1/2, Weeramal Mawatha,","Kohila Watta, Angoda.",,,077-7444872,,90 Net,GROCERY,
470,Tropical Spices Lanka (Pvt)Ltd.,N,Sri Lanka,"No.79,","Katuwana Industrial Estate,",Homagama.,Mrs.Priyanthi,071-9700191/011-2454587,,90 Net,GROCERY,
732,Union Bank Of Colombo PLC,Y,Sri Lanka,"No:64,Galle Road,", Colombo 03,,Mr.Sujith,077-0708382/0113020050,,90 Net,GROCERY,
673,UTN Trading Company (Pvt) Ltd,N,Sri Lanka,"No: 520 C, Avissawella Road,",Kaduwela.,,Mr.Mohan,077-4775392/011-4405317,,90 Net,GROCERY,
2046,Vichy Cookies (Pvt) Ltd,N,Sri Lanka,"No.48, Hospital Road, Dehiwala",Dehiwala,,Mr.Jayantha,077-8133721/011-5232296,,90 Net,GROCERY,
2580,Wedawatta Food Product,N,Sri Lanka,"220/8/10,Silumina Mw,Edera Mulla,",Wattala,,,,,90 Net,GROCERY,
8,Zenra Eco Marketing and Logistics (pvt)Ltd.,N,Sri Lanka,Malawa,Kuruwita,,Mr.Nalaka,071-8617261/045-4927700,,90 Net,GROCERY,
37,Badulla Liquor Distributors,,Sri Lanka,,,,,,,,GROCERY,
796,D.M. Lalitha Pathmini,,Sri Lanka,"Medaduwa, Kuligoda,",Ambalangoda.,,,,,,GROCERY,
1258,Danajaya Suppliers,,Sri Lanka,,,,,,,,GROCERY,
1260,Delmege Distributors(Pvt)Ltd,,Sri Lanka,"No:101,Vinayalankara Mw",PO Box 45,Colombo 10,,,,,GROCERY,
580,Francise Farm Products,,Sri Lanka,"No:313,Dehiyagatha,",Ja Ela,,,011-2232196,,,GROCERY,
1292,Lakmi Distributors,,Sri Lanka,,,,,,,,GROCERY,
1298,Mauara Tea,,Sri Lanka,,,,,,,,GROCERY,
1315,Orel SLK (Pvt) Ltd.,,Sri Lanka,,,,,,,,GROCERY,
1349,The Swadeshi Marketing(Pvt)Ltd,,Sri Lanka,"No:57,Colombo Road,",Kandana,,,,,,GROCERY,
582,Udapussellawa Plantation Ltd,,Sri Lanka,"No:186,Vauxhall Street,",Colombo 02,,,011-2421931,,,GROCERY,
579,Wijitha Product,,Sri Lanka,"No.476/1,Daham Mawatha","Highlevel Road,",Meegoda.,,,,,GROCERY,
